"","Site_Visnum_Layer","UID","SITE_ID","VISNUM","Col_Date","Col_loc","Latitude","Longitude","REGION","SUBREGIONS","STATE","SAMPYEAR","CHLA..ug.L.","TN..mgN.L.","DIN..mgN.L.","TP..mgP.L.","DIP..mgP.L.","DIN.DIP..Molar.","TN.TP..Molar.","SECCHI_MEAN..m.","TSS..mg.L.","TS_Chla","TS_N","TS_P","TS_SD","TS_Chla_Q","predict_TSI","predict_Cat"
"491","NCCA10-1702_1_SURFACE",9739,"NCCA10-1702",1,"9/8/10","SURFACE",21.3138,-157.8926,"Insular","Insular1_HI","HI",2010,1.17,0.21,0.016,0.011,0.005,7,41.9,3.7,NA,"Oligo","Meso","Meso","Eu","Oligo",-170.811547010137,"Oligo"
"492","NCCA10-1709_1_SURFACE",9743,"NCCA10-1709",1,"10/11/10","SURFACE",21.4477,-157.7914,"Insular","Insular1_HI","HI",2010,0.99,0.129,0.026,0.006,0.004,14.3,51.5,3.2,NA,"Oligo","Meso","Oligo","Eu","Oligo",-256.955369117453,"Oligo"
"493","NCCA10-1711_1_SURFACE",9745,"NCCA10-1711",1,"10/20/10","SURFACE",20.7774,-156.4951,"Insular","Insular1_HI","HI",2010,0.19,0.124,0.02,0.006,0.005,8.8,48.5,19.3,NA,"Oligo","Meso","Oligo","Eu","Oligo",-326.749005479849,"Oligo"
"494","NCCA10-1720_1_SURFACE",9750,"NCCA10-1720",1,"8/30/10","SURFACE",21.4973,-157.817,"Insular","Insular1_HI","HI",2010,0.35,0.178,0.018,0.007,0.004,9.9,52.7,4,NA,"Oligo","Meso","Oligo","Eu","Oligo",-217.382498004985,"Oligo"
"495","NCCA10-1724_1_SURFACE",9753,"NCCA10-1724",1,"9/15/10","SURFACE",21.3597,-158.017,"Insular","Insular1_HI","HI",2010,16.75,0.645,0.031,0.08,0.03,2.3,17.9,0.7,NA,"Meso","Meso","Meso","Oligo","Hyper",65.2994679455207,"Meso"
"496","NCCA10-2048_1_SURFACE",9757,"NCCA10-2048",1,"7/22/10","SURFACE",44.4908,-68.8101,"Northeast_A","NE1_North GOM","ME",2010,2.39,0.316,0.171,0.033,0.028,13.4,20.9,2.2,NA,"Oligo","Meso","Meso","Meso","Meso",-110.237159368804,"Oligo"
"497","NCCA10-2049_1_SURFACE",9759,"NCCA10-2049",1,"7/19/10","SURFACE",44.0612,-68.9587,"Northeast_A","NE1_North GOM","ME",2010,4.18,0.205,0.022,0.019,0.009,5.4,23.3,2.7,NA,"Oligo","Meso","Meso","Meso","Meso",-110.828648614133,"Oligo"
"498","NCCA10-2050_1_SURFACE",9760,"NCCA10-2050",1,"7/22/10","SURFACE",44.1113,-68.6341,"Northeast_A","NE1_North GOM","ME",2010,2.12,0.228,0.147,0.022,0.009,36,23.1,3,NA,"Oligo","Meso","Meso","Meso","Meso",-145.695260599614,"Oligo"
"499","NCCA10-2110_1_SURFACE",9761,"NCCA10-2110",1,"6/30/10","SURFACE",32.6326,-117.1072,"West","West1_South CA","CA",2010,2.54,0.348,0.009,0.078,0.027,0.7,9.8,0.7,NA,"Oligo","Meso","Meso","Oligo","Meso",235.039781071724,"Eu"
"500","NCCA10-2112_1_SURFACE",9763,"NCCA10-2112",1,"7/14/10","SURFACE",33.7419,-118.1758,"West","West1_South CA","CA",2010,3.34,0.365,0.011,0.042,0.013,1.9,19.3,2.6,NA,"Oligo","Meso","Meso","Meso","Meso",158.750819130251,"Eu"
"501","NCCA10-2114_1_SURFACE",9764,"NCCA10-2114",1,"6/30/10","SURFACE",32.623,-117.1152,"West","West1_South CA","CA",2010,3.99,0.276,0.009,0.048,0.028,0.7,12.6,1.4,NA,"Oligo","Meso","Meso","Meso","Meso",153.812113322518,"Eu"
"502","NCCA10-2116_1_SURFACE",9765,"NCCA10-2116",1,"7/14/10","SURFACE",33.7319,-118.1574,"West","West1_South CA","CA",2010,2.48,0.269,0.011,0.033,0.01,2.4,18.2,3.1,NA,"Oligo","Meso","Meso","Eu","Meso",115.749380891725,"Eu"
"503","NCCA10-2120_1_SURFACE",9767,"NCCA10-2120",1,"7/13/10","SURFACE",33.6093,-117.8968,"West","West1_South CA","CA",2010,2.43,0.211,0.041,0.041,0.028,3.2,11.4,2.3,NA,"Oligo","Meso","Meso","Meso","Meso",60.9510484969369,"Meso"
"504","NCCA10-2220_1_SURFACE",9768,"NCCA10-2220",1,"8/23/10","SURFACE",46.1749,-123.8644,"West","West4_Pacific NW","OR",2010,4.6,0.41,0.172,0.053,0.042,9,17.2,2,NA,"Oligo","Meso","Meso","Meso","Eu",-16.7192679369788,"Meso"
"505","NCCA10-2221_1_SURFACE",9769,"NCCA10-2221",1,"8/25/10","SURFACE",46.2153,-123.9303,"West","West4_Pacific NW","OR",2010,2.91,0.32,0.164,0.039,0.038,9.5,18.1,1.8,NA,"Oligo","Meso","Meso","Meso","Meso",-51.7670505177835,"Meso"
"506","NCCA10-2224_1_SURFACE",9770,"NCCA10-2224",1,"9/15/10","SURFACE",46.3088,-124.0177,"West","West4_Pacific NW","WA",2010,11.03,0.511,0.069,0.115,0.029,5.2,9.8,0.4,NA,"Meso","Meso","Eu","Oligo","Eu",151.296441734504,"Eu"
"507","NCCA10-2229_1_SURFACE",9771,"NCCA10-2229",1,"8/13/10","SURFACE",47.2008,-122.9875,"West","West6_Puget","WA",2010,8.72,0.364,0.084,0.089,0.075,2.5,9,0.7,NA,"Meso","Meso","Meso","Oligo","Eu",51.8619581887459,"Meso"
"508","NCCA10-2230_1_SURFACE",9772,"NCCA10-2230",1,"7/13/10","SURFACE",47.5827,-122.9711,"West","West6_Puget","WA",2010,0.53,0.124,0.01,0.023,0.014,1.6,12,10.1,NA,"Oligo","Meso","Meso","Eu","Oligo",-137.38891846141,"Oligo"
"509","NCCA10-2231_1_SURFACE",9773,"NCCA10-2231",1,"7/26/10","SURFACE",47.9931,-122.3225,"West","West6_Puget","WA",2010,1.25,0.239,0.034,0.04,0.024,3.1,13.1,3.5,NA,"Oligo","Meso","Meso","Eu","Oligo",-48.5464862276623,"Meso"
"510","NCCA10-2233_1_SURFACE",9774,"NCCA10-2233",1,"8/20/10","SURFACE",47.1959,-122.6438,"West","West6_Puget","WA",2010,8.43,0.515,0.124,0.073,0.049,5.6,15.5,4.2,NA,"Meso","Meso","Meso","Eu","Eu",0.0601308832035238,"Meso"
"511","NCCA10-2234_1_SURFACE",9775,"NCCA10-2234",1,"7/27/10","SURFACE",47.8286,-122.573,"West","West6_Puget","WA",2010,4.67,0.344,0.061,0.057,0.033,4.1,13.2,3.5,NA,"Oligo","Meso","Meso","Eu","Eu",-16.0483014802872,"Meso"
"512","NCCA10-2255_1_SURFACE",9776,"NCCA10-2255",1,"8/17/10","SURFACE",48.3303,-124.6758,"West","West4_Pacific NW","WA",2010,10.34,0.414,0.143,0.067,0.037,8.5,13.6,3.1,NA,"Meso","Meso","Meso","Eu","Eu",-7.64566813479134,"Meso"
"513","NCCA10-2257_1_SURFACE",9777,"NCCA10-2257",1,"8/9/10","SURFACE",46.9322,-124.08,"West","West4_Pacific NW","WA",2010,10.15,0.443,0.089,0.064,0.042,4.7,15.4,1.9,NA,"Meso","Meso","Meso","Meso","Eu",22.6469219325732,"Meso"
"514","NCCA10-2260_1_SURFACE",9778,"NCCA10-2260",1,"9/9/10","SURFACE",46.3865,-123.9603,"West","West4_Pacific NW","WA",2010,2.86,0.374,0.039,0.099,0.061,1.4,8.4,0.8,NA,"Oligo","Meso","Meso","Oligo","Meso",84.3663396670422,"Meso"
"515","NCCA10-2262_1_SURFACE",9779,"NCCA10-2262",1,"9/10/10","SURFACE",46.6969,-123.8785,"West","West4_Pacific NW","WA",2010,5.93,0.368,0.084,0.073,0.042,4.4,11.2,1.1,NA,"Meso","Meso","Meso","Meso","Eu",38.4309912009534,"Meso"
"516","NCCA10-2265_1_SURFACE",9780,"NCCA10-2265",1,"8/26/10","SURFACE",46.6499,-123.9921,"West","West4_Pacific NW","WA",2010,10.25,0.355,0.021,0.074,0.037,1.2,10.6,1.9,NA,"Meso","Meso","Meso","Meso","Eu",55.688247147873,"Meso"
"517","NCCA10-2268_1_SURFACE",9781,"NCCA10-2268",1,"8/10/10","SURFACE",47.0015,-124.0174,"West","West4_Pacific NW","WA",2010,6.46,0.373,0.055,0.077,0.051,2.4,10.8,0.7,NA,"Meso","Meso","Meso","Oligo","Eu",66.718479756253,"Meso"
"518","NCCA10-2273_1_SURFACE",9782,"NCCA10-2273",1,"8/31/10","SURFACE",46.9604,-123.8308,"West","West4_Pacific NW","WA",2010,4.54,0.363,0.191,0.046,0.042,10,17.3,1.4,NA,"Oligo","Meso","Meso","Meso","Eu",-26.4390085972831,"Meso"
"519","NCCA10-2274_1_SURFACE",9783,"NCCA10-2274",1,"9/2/10","SURFACE",46.8685,-124.0747,"West","West4_Pacific NW","WA",2010,2.59,0.61,0.101,0.063,0.046,4.8,21.4,2,NA,"Oligo","Meso","Meso","Meso","Meso",41.0389838224045,"Meso"
"520","NCCA10-2278_1_SURFACE",9785,"NCCA10-2278",1,"7/29/10","SURFACE",38.2205,-122.9647,"West","West2_Mid CA","CA",2010,10.3,0.351,0.019,0.046,0.012,3.5,16.9,2.1,NA,"Meso","Meso","Meso","Meso","Eu",-80.2267412994395,"Meso"
"521","NCCA10-2290_1_SURFACE",9787,"NCCA10-2290",1,"8/10/10","SURFACE",40.8338,-124.148,"West","West4_Pacific NW","CA",2010,2.15,0.374,0.074,0.088,0.07,2.3,9.4,1.1,NA,"Oligo","Meso","Meso","Meso","Meso",43.5262214306802,"Meso"
"522","NCCA10-2302_1_SURFACE",9789,"NCCA10-2302",1,"6/16/10","SURFACE",30.0284,-84.1293,"Gulf","GULF2_Bend Panhandle","FL",2010,2.49,0.298,0.025,0.01,0.006,9.2,65.3,2.7,NA,"Oligo","Meso","Oligo","Meso","Meso",-64.5197169475333,"Meso"
"523","NCCA10-2312_1_SURFACE",9790,"NCCA10-2312",1,"8/26/10","SURFACE",29.4484,-91.4926,"Gulf","GULF3_MS Delta LA","LA",2010,5.01,1.468,1.097,0.196,0.153,15.8,16.6,0.5,NA,"Meso","Eu","Eu","Oligo","Eu",117.823879269557,"Eu"
"524","NCCA10-2315_1_SURFACE",9792,"NCCA10-2315",1,"9/1/10","SURFACE",29.6651,-91.8266,"Gulf","GULF3_MS Delta LA","LA",2010,19.82,1.493,1.219,0.215,0.139,19.3,15.4,0.3,NA,"Meso","Eu","Eu","Oligo","Hyper",144.729729355857,"Eu"
"525","NCCA10-2316_1_SURFACE",9793,"NCCA10-2316",1,"8/30/10","SURFACE",29.517,-91.5882,"Gulf","GULF3_MS Delta LA","LA",2010,5.65,1.453,1.041,0.184,0.154,14.9,17.5,0.6,NA,"Meso","Eu","Eu","Oligo","Eu",106.809174796944,"Eu"
"526","NCCA10-2329_1_SURFACE",9794,"NCCA10-2329",1,"7/22/10","SURFACE",29.7656,-90.2603,"Gulf","GULF3_MS Delta LA","LA",2010,15.73,1.788,1.143,0.171,0.121,20.8,23.1,0.6,NA,"Meso","Eu","Eu","Oligo","Hyper",122.798918656632,"Eu"
"527","NCCA10-2368_1_SURFACE",9795,"NCCA10-2368",1,"9/12/10","SURFACE",27.7904,-97.1906,"Gulf","GULF4_Texas Coast","TX",2010,6.08,0.591,0.02,0.051,0.026,1.7,25.6,0.8,NA,"Meso","Meso","Meso","Oligo","Eu",106.701667661026,"Eu"
"528","NCCA10-2369_1_SURFACE",9797,"NCCA10-2369",1,"9/20/10","SURFACE",27.2734,-97.4866,"Gulf","GULF4_Texas Coast","TX",2010,23.51,0.954,0.032,0.062,0.024,2.9,33.9,0.6,NA,"Eu","Meso","Meso","Oligo","Hyper",161.578834873561,"Eu"
"529","NCCA10-2370_1_SURFACE",9799,"NCCA10-2370",1,"9/20/10","SURFACE",27.2992,-97.5595,"Gulf","GULF4_Texas Coast","TX",2010,12.76,0.883,0.149,0.144,0.116,2.8,13.6,0.7,NA,"Meso","Meso","Eu","Oligo","Hyper",128.527287411249,"Eu"
"530","NCCA10-2371_1_SURFACE",9800,"NCCA10-2371",1,"9/13/10","SURFACE",27.7894,-97.3592,"Gulf","GULF4_Texas Coast","TX",2010,11.55,0.628,0.021,0.073,0.033,1.4,19.1,1,NA,"Meso","Meso","Meso","Oligo","Hyper",121.617957007915,"Eu"
"531","NCCA10-2372_1_SURFACE",9801,"NCCA10-2372",1,"9/14/10","SURFACE",27.8408,-97.2833,"Gulf","GULF4_Texas Coast","TX",2010,6.27,0.528,0.019,0.048,0.024,1.7,24.3,0.7,NA,"Meso","Meso","Meso","Oligo","Eu",101.259183907695,"Eu"
"532","NCCA10-2374_1_SURFACE",9802,"NCCA10-2374",1,"9/13/10","SURFACE",27.8649,-97.516,"Gulf","GULF4_Texas Coast","TX",2010,22.71,1.106,0.014,0.206,0.115,0.3,11.9,0.5,NA,"Eu","Eu","Eu","Oligo","Hyper",248.645705277572,"Eu"
"533","NCCA10-2397_1_SURFACE",9803,"NCCA10-2397",1,"8/18/10","SURFACE",28.5782,-96.299,"Gulf","GULF4_Texas Coast","TX",2010,11.78,0.563,0.014,0.087,0.046,0.7,14.3,0.9,NA,"Meso","Meso","Meso","Oligo","Hyper",131.153789684713,"Eu"
"534","NCCA10-2408_1_SURFACE",9804,"NCCA10-2408",1,"8/10/10","SURFACE",29.0891,-89.3268,"Gulf","GULF3_MS Delta LA","LA",2010,6.28,2.263,1.527,0.236,0.158,21.3,21.2,0.3,NA,"Meso","Eu","Eu","Oligo","Eu",177.381374682553,"Eu"
"535","NCCA10-2410_1_SURFACE",9805,"NCCA10-2410",1,"8/15/10","SURFACE",29.0388,-89.2802,"Gulf","GULF3_MS Delta LA","LA",2010,2.48,1.9,1.567,0.262,0.172,20.1,16.1,0.5,NA,"Oligo","Eu","Eu","Oligo","Meso",147.910935495103,"Eu"
"536","NCCA10-2411_1_SURFACE",9806,"NCCA10-2411",1,"8/22/10","SURFACE",29.1718,-89.0364,"Gulf","GULF3_MS Delta LA","LA",2010,22.09,1.59,1.065,0.195,0.155,15.1,18,0.6,NA,"Eu","Eu","Eu","Oligo","Hyper",117.805026243232,"Eu"
"537","NCCA10-2412_1_SURFACE",9807,"NCCA10-2412",1,"8/22/10","SURFACE",29.1426,-89.2246,"Gulf","GULF3_MS Delta LA","LA",2010,2.97,2.223,2.042,0.269,0.197,22.8,18.3,0.4,NA,"Oligo","Eu","Eu","Oligo","Meso",161.050283456415,"Eu"
"538","NCCA10-2413_1_SURFACE",9808,"NCCA10-2413",1,"8/23/10","SURFACE",29.0003,-89.2092,"Gulf","GULF3_MS Delta LA","LA",2010,29.25,1.094,0.438,0.126,0.047,20.5,19.2,0.6,NA,"Eu","Eu","Eu","Oligo","Hyper",108.805899272,"Eu"
"539","NCCA10-2417_1_SURFACE",9809,"NCCA10-2417",1,"7/19/10","SURFACE",30.6777,-88.1518,"Gulf","GULF2_Bend Panhandle","AL",2010,12.05,0.446,0.04,0.051,0.015,5.9,19.3,0.6,NA,"Meso","Meso","Meso","Oligo","Hyper",106.600871669404,"Eu"
"540","NCCA10-2418_1_SURFACE",9810,"NCCA10-2418",1,"7/22/10","SURFACE",30.4616,-87.9997,"Gulf","GULF2_Bend Panhandle","AL",2010,6.61,0.41,0.063,0.044,0.015,9.2,20.4,0.9,NA,"Meso","Meso","Meso","Oligo","Eu",61.6446774750456,"Meso"
"541","NCCA10-2432_1_SURFACE",9811,"NCCA10-2432",1,"7/13/10","SURFACE",30.4074,-86.7278,"Gulf","GULF2_Bend Panhandle","FL",2010,3.85,0.361,0.013,0.02,0.008,3.6,39.2,1.6,NA,"Oligo","Meso","Meso","Meso","Meso",30.810152079284,"Meso"
"542","NCCA10-2440_1_SURFACE",9812,"NCCA10-2440",1,"8/30/10","SURFACE",28.3408,-96.5301,"Gulf","GULF4_Texas Coast","TX",2010,4.89,0.413,0.019,0.06,0.028,1.5,15.2,0.8,NA,"Oligo","Meso","Meso","Oligo","Eu",87.3863132631908,"Eu"
"543","NCCA10-2441_1_SURFACE",9813,"NCCA10-2441",1,"8/31/10","SURFACE",28.3815,-96.4862,"Gulf","GULF4_Texas Coast","TX",2010,6.1,0.286,0.018,0.041,0.016,2.5,15.4,0.7,NA,"Meso","Meso","Meso","Oligo","Eu",49.7995286687206,"Meso"
"544","NCCA10-2480_1_SURFACE",9815,"NCCA10-2480",1,"8/17/10","SURFACE",29.8767,-93.3268,"Gulf","GULF3_MS Delta LA","LA",2010,15.9,0.668,0.014,0.119,0.058,0.5,12.4,1.3,NA,"Meso","Meso","Eu","Meso","Hyper",119.71433967528,"Eu"
"545","NCCA10-2497_1_SURFACE",9817,"NCCA10-2497",1,"9/2/10","SURFACE",38.6468,-76.1828,"Northeast_B","NE99_Ches Bay","MD",2010,13.73,0.6,0.021,0.062,0.005,9,21.4,1.2,NA,"Meso","Meso","Meso","Meso","Hyper",169.636050758881,"Eu"
"546","NCCA10-2501_1_SURFACE",9818,"NCCA10-2501",1,"9/2/10","SURFACE",38.5146,-76.4418,"Northeast_B","NE99_Ches Bay","MD",2010,6.07,0.41,0.003,0.038,0.002,3.1,23.7,3,NA,"Meso","Meso","Meso","Meso","Eu",142.759539173593,"Eu"
"547","NCCA10-2502_1_SURFACE",9819,"NCCA10-2502",1,"9/1/10","SURFACE",37.9359,-76.2586,"Northeast_B","NE99_Ches Bay","MD",2010,6.02,0.42,0.012,0.036,0.003,9.5,26,2.7,NA,"Meso","Meso","Meso","Meso","Eu",97.9317121922559,"Eu"
"548","NCCA10-2505_1_SURFACE",9820,"NCCA10-2505",1,"9/21/10","SURFACE",38.2814,-75.7717,"Northeast_B","NE99_Ches Bay","MD",2010,20.22,0.85,0.002,0.083,0.008,0.6,22.7,0.4,NA,"Eu","Meso","Meso","Oligo","Hyper",311.728722576075,"Eu"
"549","NCCA10-2507_1_SURFACE",9821,"NCCA10-2507",1,"9/29/10","SURFACE",39.1926,-76.3581,"Northeast_B","NE99_Ches Bay","MD",2010,13.83,0.59,0.181,0.097,0.056,7.2,13.4,1.1,NA,"Meso","Meso","Meso","Meso","Hyper",85.1160281290975,"Meso"
"550","NCCA10-2508_1_SURFACE",9822,"NCCA10-2508",1,"9/1/10","SURFACE",38.2557,-76.3089,"Northeast_B","NE99_Ches Bay","MD",2010,7.02,0.46,0.001,0.046,0.003,NA,22.1,2.2,NA,"Meso","Meso","Meso","Meso","Eu",196.643072308418,"Eu"
"551","NCCA10-2544_1_SURFACE",9823,"NCCA10-2544",1,"9/13/10","SURFACE",39.0202,-75.1975,"Northeast_B","NE8_Del Bay","DE",2010,8.58,0.521,0.09,0.072,0.037,5.4,16,1.3,NA,"Meso","Meso","Meso","Meso","Eu",6.19441655113364,"Meso"
"552","NCCA10-2584_1_SURFACE",9824,"NCCA10-2584",1,"7/26/10","SURFACE",41.6825,-71.424,"Northeast_A","NE3_CT RI MA Coast","RI",2010,19.05,0.593,0.024,0.137,0.057,0.9,9.5,1.7,NA,"Meso","Meso","Eu","Meso","Hyper",84.4599525245058,"Meso"
"553","NCCA10-2586_1_SURFACE",9825,"NCCA10-2586",1,"8/2/10","SURFACE",41.5782,-71.3872,"Northeast_A","NE3_CT RI MA Coast","RI",2010,6.13,0.364,0.023,0.064,0.025,2,12.7,2.3,NA,"Meso","Meso","Meso","Meso","Eu",-0.437860062918425,"Meso"
"554","NCCA10-2619_1_SURFACE",9826,"NCCA10-2619",1,"8/4/10","SURFACE",39.8151,-74.1223,"Northeast_B","NE6_NY Bight","NJ",2010,10.28,0.605,0.08,0.098,0.021,8.4,13.7,0.7,NA,"Meso","Meso","Meso","Oligo","Eu",184.01063941616,"Eu"
"555","NCCA10-2622_1_SURFACE",9827,"NCCA10-2622",1,"8/5/10","SURFACE",39.5079,-74.3357,"Northeast_B","NE6_NY Bight","NJ",2010,7.92,0.488,0.076,0.088,0.051,3.3,12.2,1.4,NA,"Meso","Meso","Meso","Meso","Eu",110.919065389483,"Eu"
"556","NCCA10-2690_1_SURFACE",9833,"NCCA10-2690",1,"7/21/10","SURFACE",21.4998,-157.8387,"Insular","Insular1_HI","HI",2010,0.97,0.213,0.183,0.006,0.005,80.6,85.1,3.2,NA,"Oligo","Meso","Oligo","Eu","Oligo",-271.827596155362,"Oligo"
"557","NCCA10-2692_1_SURFACE",9835,"NCCA10-2692",1,"9/30/10","SURFACE",19.7355,-155.0683,"Insular","Insular1_HI","HI",2010,2.26,0.183,0.027,0.023,0.024,2.5,17.7,3.3,NA,"Oligo","Meso","Meso","Eu","Meso",-179.249165233877,"Oligo"
"558","NCCA10-2694_1_SURFACE",9838,"NCCA10-2694",1,"8/30/10","SURFACE",21.4723,-157.8267,"Insular","Insular1_HI","HI",2010,0.81,0.14,0.018,0.007,0.004,9.9,44.8,3.6,NA,"Oligo","Meso","Oligo","Eu","Oligo",-233.754121761537,"Oligo"
"559","NCCA10-2698_1_SURFACE",9840,"NCCA10-2698",1,"9/15/10","SURFACE",21.3686,-158.0156,"Insular","Insular1_HI","HI",2010,4.84,0.474,0.024,0.049,0.021,2.5,21.4,0.6,NA,"Oligo","Meso","Meso","Oligo","Eu",25.9523651134194,"Meso"
"560","NCCA10-2705_1_SURFACE",9843,"NCCA10-2705",1,"11/22/10","SURFACE",21.4144,-157.7841,"Insular","Insular1_HI","HI",2010,1.65,0.113,0.012,0.012,0.005,5.3,20.8,2.4,NA,"Oligo","Meso","Meso","Meso","Oligo",-193.179423227432,"Oligo"
"561","NCCA10-2706_1_SURFACE",9844,"NCCA10-2706",1,"10/17/10","SURFACE",19.7514,-155.0602,"Insular","Insular1_HI","HI",2010,0.82,0.13,0.03,0.007,0.009,7.3,41.5,18.2,NA,"Oligo","Meso","Oligo","Eu","Oligo",-335.186831552598,"Oligo"
"562","NCCA10-2707_1_SURFACE",9845,"NCCA10-2707",1,"11/2/10","SURFACE",21.3703,-157.9442,"Insular","Insular1_HI","HI",2010,1.17,0.109,0.013,0.01,0.008,3.6,23.3,4.2,NA,"Oligo","Meso","Oligo","Eu","Oligo",-244.315993150616,"Oligo"
"563","NCCA10-2711_1_SURFACE",9848,"NCCA10-2711",1,"11/2/10","SURFACE",21.3425,-157.9668,"Insular","Insular1_HI","HI",2010,1.22,0.153,0.011,0.01,0.007,3.5,33.9,4.7,NA,"Oligo","Meso","Oligo","Eu","Oligo",-212.024208627717,"Oligo"
"564","NCCA10-BA10_1_SURFACE",9905,"NCCA10-BA10",1,"8/30/10","SURFACE",37.4682,-122.064,"West","West3_San Fran","CA",2010,8.02,1.041,0.532,0.399,0.37,3.2,5.8,0.5,NA,"Meso","Eu","Eu","Oligo","Eu",166.261881654584,"Eu"
"565","NCCA10-BA41_1_SURFACE",9906,"NCCA10-BA41",1,"8/31/10","SURFACE",37.5591,-122.2106,"West","West3_San Fran","CA",2010,4.54,0.661,0.289,0.267,0.254,2.5,5.5,1.1,NA,"Oligo","Meso","Eu","Meso","Eu",95.1716019678851,"Eu"
"566","NCCA10-BC11_1_SURFACE",9907,"NCCA10-BC11",1,"8/26/10","SURFACE",37.8222,-122.3493,"West","West3_San Fran","CA",2010,3.68,0.623,0.332,0.11,0.092,7.9,12.6,1.1,NA,"Oligo","Meso","Eu","Meso","Meso",49.1000191887137,"Meso"
"567","NCCA10-BD31_1_SURFACE",9908,"NCCA10-BD31",1,"8/24/10","SURFACE",38.0242,-122.3638,"West","West3_San Fran","CA",2010,2.33,0.691,0.419,0.124,0.116,8,12.3,1.2,NA,"Oligo","Meso","Eu","Meso","Meso",51.0843481855424,"Meso"
"568","NCCA10-BG20_1_SURFACE",9910,"NCCA10-BG20",1,"8/23/10","SURFACE",38.0589,-121.8145,"West","West3_San Fran","CA",2010,3.34,0.43,0.23,0.089,0.055,9.2,10.7,0.7,NA,"Oligo","Meso","Meso","Oligo","Meso",42.4073225342768,"Meso"
"569","NCCA10-BG30_1_SURFACE",9911,"NCCA10-BG30",1,"8/23/10","SURFACE",38.0228,-121.8084,"West","West3_San Fran","CA",2010,2.2,0.436,0.226,0.093,0.06,8.3,10.3,0.8,NA,"Oligo","Meso","Meso","Oligo","Meso",39.9370139330132,"Meso"
"570","NCCA10-CB001S_1_SURFACE",9912,"NCCA10-CB001S",1,"9/1/10","SURFACE",37.8763,-122.3615,"West","West3_San Fran","CA",2010,2.16,0.566,0.363,0.1,0.097,8.2,12.6,1.7,NA,"Oligo","Meso","Meso","Meso","Meso",14.0739809921925,"Meso"
"571","NCCA10-CB043S_1_SURFACE",9913,"NCCA10-CB043S",1,"9/1/10","SURFACE",37.9384,-122.496,"West","West3_San Fran","CA",2010,8.16,0.655,0.294,0.136,0.1,6.5,10.7,0.8,NA,"Meso","Meso","Eu","Oligo","Eu",81.5538316695634,"Meso"
"572","NCCA10-CB075S_1_SURFACE",9914,"NCCA10-CB075S",1,"9/1/10","SURFACE",37.9433,-122.4755,"West","West3_San Fran","CA",2010,4.41,0.614,0.346,0.124,0.104,7.3,10.9,1.2,NA,"Oligo","Meso","Eu","Meso","Meso",48.91158318342,"Meso"
"573","NCCA10-CB121S_1_SURFACE",9915,"NCCA10-CB121S",1,"9/1/10","SURFACE",37.8553,-122.3926,"West","West3_San Fran","CA",2010,4.28,0.58,0.354,0.103,0.089,8.8,12.5,1.8,NA,"Oligo","Meso","Eu","Meso","Meso",18.9350625787929,"Meso"
"574","NCCA10-GU10-0001_1_SURFACE",9916,"NCCA10-GU10-0001",1,"5/19/10","SURFACE",13.4697,-215.2987,"Insular","Insular3_GU MP","GU",2010,0.34,0.04,0.001,0.0012,0.0027,NA,NA,16.2,NA,"Oligo","Oligo","Oligo","Eu","Oligo",-375.209231335802,"Oligo"
"575","NCCA10-GU10-0002_1_SURFACE",9918,"NCCA10-GU10-0002",1,"5/17/10","SURFACE",13.51,-215.2008,"Insular","Insular3_GU MP","GU",2010,0,0.06,0.001,0.0012,0.002,NA,NA,14.9,NA,"Oligo","Oligo","Oligo","Eu",NA,-330.111170809797,"Oligo"
"576","NCCA10-GU10-0003_1_SURFACE",9920,"NCCA10-GU10-0003",1,"5/17/10","SURFACE",13.5195,-215.1947,"Insular","Insular3_GU MP","GU",2010,0.66,0.05,0.062,0.0012,0.0027,NA,NA,3.6,NA,"Oligo","Oligo","Oligo","Eu","Oligo",-408.960707730596,"Oligo"
"577","NCCA10-GU10-0004_1_SURFACE",9922,"NCCA10-GU10-0004",1,"5/17/10","SURFACE",13.5049,-215.2122,"Insular","Insular3_GU MP","GU",2010,0,0.064,0.001,0.0012,0.003,NA,NA,20.6,NA,"Oligo","Oligo","Oligo","Eu",NA,-347.117473925675,"Oligo"
"578","NCCA10-GU10-0005_1_SURFACE",9924,"NCCA10-GU10-0005",1,"5/25/10","SURFACE",13.6537,-215.142,"Insular","Insular3_GU MP","GU",2010,0,0.061,0.001,0.0012,0.0027,NA,NA,18.1,NA,"Oligo","Oligo","Oligo","Eu",NA,-343.640447663539,"Oligo"
"579","NCCA10-GU10-0006_1_SURFACE",9926,"NCCA10-GU10-0006",1,"5/10/10","SURFACE",13.246,-215.2734,"Insular","Insular3_GU MP","GU",2010,0,0.048,0.001,0.0012,0.003,NA,NA,9.1,NA,"Oligo","Oligo","Oligo","Eu",NA,-340.685234356525,"Oligo"
"580","NCCA10-GU10-0008_1_SURFACE",9928,"NCCA10-GU10-0008",1,"5/26/10","SURFACE",13.4544,-215.3745,"Insular","Insular3_GU MP","GU",2010,0,0.04,0.001,0.0012,0.0027,NA,NA,19.1,NA,"Oligo","Oligo","Oligo","Eu",NA,-381.418008124747,"Oligo"
